sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
AB563914	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2008	2008	2008	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-099
AB563915	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, cebu	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-100
AB563916	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-101
AB563917	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-102
AB563918	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-103
AB563919	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-104
AB563920	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-107
AB563921	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-108
AB563922	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-109
AB563923	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-110
AB563924	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-111
AB563925	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-112
AB563926	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Zambales	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-113
AB563927	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Zambales	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-114
AB563928	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-115
AB563929	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Zambales	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-116
AB563930	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-117
AB563931	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-118
AB563932	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 3, Zambales	2008	2008	2008	743	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-119
AB563933	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Catanduanes	2008	2008	2008	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-120
AB563934	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Camarines Sur	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-121
AB563935	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 5, Albay	2008	2008	2008	786	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-122
AB563936	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Catanduanes	2008	2008	2008	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-123
AB563937	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-127
AB563938	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Nueva Ecija	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-128
AB563939	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-129
AB563940	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-130
AB563941	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 3, Pampanga	2009	2009	2009	805	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-131
AB563942	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-133
AB563943	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Nueva Ecija	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-134
AB563944	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-135
AB563945	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Nueva Ecija	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-136
AB563946	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region2, Cagayan	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R2.PHL/2009/TRa-142
AB563947	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Negros Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-143
AB563948	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Negros Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-144
AB563949	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Negros Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-145
AB563950	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Negros Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-147
AB563951	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-150
AB563952	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-151
AB563953	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-153
AB563954	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-154
AB563955	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-157
AB563956	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-159
AB563957	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-161
AB563958	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Negros Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-164
AB563959	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Negros Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-165
AB563960	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-166
AB563961	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-167
AB563962	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-168
AB563963	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-170
AB563964	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-172
AB563965	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-173
AB563966	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-176
AB563967	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-177
AB563968	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-178
AB563969	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Albay	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2009/TRa-183
AB563970	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-191
AB563971	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-196
AB563972	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-197
AB563973	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	CAR, Mountain Province	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/CAR.PHL/2009/TRa-198
AB563974	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	CAR, Mountain Province	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/CAR.PHL/2009/TRa-199
AB563975	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	CAR, Mountain Province	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/CAR.PHL/2009/TRa-200
AB563976	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Nueva Ecija	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-201
AB563977	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Zambales	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-202
AB563978	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-204
AB563979	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Nueva Ecija	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-205
AB563980	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-206
AB563981	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-208
AB563982	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-209
AB563983	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-210
AB563984	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-213
AB563985	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-214
AB563986	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-215
AB563987	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Launion	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-216
AB563988	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Launion	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-218
AB563989	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-219
AB563990	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-220
AB563991	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-221
AB563992	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	CAR, Mountain Province	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/CAR.PHL/2009/TRa-222
AB563993	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	CAR, ifugao	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/CAR.PHL/2009/TRa-224
AB563994	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Albay	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2009/TRa-225
AB563995	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Albay	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2009/TRa-226
AB563996	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Albay	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2009/TRa-227
AB563997	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Catanduanes	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2009/TRa-229
AB563998	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Camarines Norte	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2009/TRa-231
AB563999	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Ilocos Sur	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-233
AB564000	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Bontoc	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	-	23593515	RV/CAR.PHL/2009/TRa-234
AB564001	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Negros Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-235
AB564002	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Negros Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-236
AB564003	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Negros Oriental	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-237
AB564004	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Negros Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-238
AB564005	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Negros Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-239
AB564006	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Negros Oriental	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-240
AB564007	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Negros Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-241
AB564008	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-242
AB564009	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-243
AB564010	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-244
AB564011	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-246
AB564012	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2008	2008	2008	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-248
AB564013	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-249
AB564014	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-250
AB564015	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Lanao del Norte	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-251
AB564016	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-252
AB564017	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	30-Jul-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-253
AB564018	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-254
AB564019	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-255
AB683584	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2004	2004	2004	1575	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2004/Z-04-522
AB683585	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Pampanga	2008	2008	2008	1575	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-017
AB683586	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region3, Nueva Ecija	2009	2009	2009	1575	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-132
AB683587	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region4A, Laguna	2004	2004	2004	1575	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2004/Z-04-470
AB683588	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Negros Oriental	2008	2008	2008	1575	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-084
AB683589	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-184
AB683590	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-186
AB683591	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region10, Misamis Oriental	2009	2009	2009	1575	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-189
AB683592	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	CAR, Mountain Province	2009	2009	2009	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/CAR.PHL/2009/TRa-198
AB683593	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	CAR, Mountain Province	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/CAR.PHL/2009/TRa-199
AB683594	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	CAR, Mountain Province	2009	2009	2009	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/CAR.PHL/2009/TRa-200
AB683595	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-009
AB683596	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-285
AB683597	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2005	2005	2005	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2005/Z-05-466
AB683598	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 1, Pangasinan	2009	2009	2009	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-151
AB683599	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 1, Pangasinan	2009	2009	2009	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-153
AB683600	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 1, Pangasinan	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-154
AB683601	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 1, Pangasinan	2009	2009	2009	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-156
AB683602	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 1, Pangasinan	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-157
AB683603	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 1, Pangasinan	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-159
AB683604	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 1, Pangasinan	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-161
